,token_ids,Artifact,Category,Eastern Resource,Eastern Resource Tier,Environment,Environment Tier,Koda,Northern Resource,Northern Resource Tier,Obelisk Piece,Plot,Sediment,Sediment Tier,Southern Resource,Southern Resource Tier,Western Resource,Western Resource Tier,block_timestamp,price_usd,koda_or_not
75276,70463,74,6,39,2,24,2,9992,27,3,1,0.6689770736589008,4,0,74,0,51,2,-1.296880827545799,6133.898829458432,0
75277,70464,74,7,31,3,12,1,9992,55,3,1,0.6690117880367151,4,1,60,2,27,3,-0.6195797890190315,5403.780260173265,0
75278,70465,74,3,61,2,8,2,9992,29,3,1,0.6690465024145295,4,1,29,2,61,1,-1.567801242956506,15289.17856344896,0
75279,70466,74,4,52,1,22,1,9992,74,0,1,0.6690812167923438,4,1,4,2,74,0,-1.608439305268112,19793.29797512347,0
75280,70467,55,1,74,0,2,0,9992,74,0,1,0.6691159311701582,4,0,36,2,73,1,-1.4187950144806172,7870.499838657914,0
75282,70469,74,3,65,1,23,3,9992,74,0,1,0.6691853599257869,4,0,29,2,42,2,-0.443481519002072,4051.91387658516,0
75283,70469,74,3,65,1,23,3,9992,74,0,1,0.6691853599257869,4,0,29,2,42,2,-1.4594330767922232,6664.826908408243,0
75285,70471,74,5,74,0,19,2,9992,36,1,1,0.6692547886814156,4,0,73,2,55,1,-1.5948932844975767,11714.290573850609,0
75289,70475,74,5,74,0,19,1,9992,74,0,1,0.669393646192673,4,0,74,0,36,1,-1.5136171598743646,8795.571502630988,0
75290,70476,74,7,31,1,15,4,9992,55,1,1,0.6694283605704874,4,0,51,1,55,2,-1.4594330767922232,9146.494810186136,0
75291,70477,74,2,74,0,9,0,9992,47,1,1,0.6694630749483018,4,0,29,1,32,2,-1.5136171598743646,8392.336132882863,0
75292,70478,74,6,74,0,27,1,9992,62,1,1,0.6694977893261161,4,1,74,0,51,1,-1.5271631806449,8777.855542326124,0
75298,70484,17,1,74,0,2,1,9992,47,1,1,0.6697060755930023,4,0,74,0,73,1,-1.6219853260386474,18570.053692435704,0
75299,70485,74,2,74,0,9,2,9992,39,1,0,0.6697407899708167,4,1,39,2,33,1,-1.6219853260386474,21819.81308861195,0
75300,70486,74,7,74,0,12,0,9992,51,3,0,0.669775504348631,4,1,74,0,32,2,-1.567801242956506,11466.88392258672,0
75302,70488,24,6,62,3,20,0,9992,3,2,1,0.6698449331042597,4,1,74,0,73,1,-1.4729790975627586,7504.960247528466,0
75304,70490,74,3,31,1,28,2,9992,74,0,1,0.6699143618598884,4,0,3,1,4,1,-1.5136171598743646,7182.630023638486,0
