block_timestamp,max_trade_price,min_trade_price,average_trade_price,trade_times
2022-11-06,22743.6999567015,1936.6052422249393,3032.9164093692257,56
2022-11-07,22197.44608162669,1884.2569723284782,4264.6890857324515,47
2022-11-08,14472.54163834282,1890.061957342455,2715.8370848280356,25
2022-11-19,13344.658110443575,1318.6464052003014,3217.1129070407005,16
2022-11-20,79193.24067204098,582.0459517885251,3738.4424167512207,57
2022-11-21,18840.358953161183,1425.3473744025193,2788.3208436003893,54
2022-11-22,12447.211600299795,1328.3673083007973,2358.3156151708326,48
2022-11-23,10222.01223992968,954.05447572677,2364.2281808027865,42
2022-11-24,4569.1885166613765,1349.4494582885932,1886.6976816071985,28
2022-11-25,14444.903709608076,1.2037419758006729,2697.913275867374,30
2022-11-26,11796.621737400379,1407.6713611672674,2991.5546356362934,30
2022-11-27,17123.855551568788,1493.9246517181086,4199.914856428183,38
